Item,Purpose,Item Type,Order Amount,Cost
jumpers,Wiring components,3 kinds 10cm,1,$3.16
gy-bno055,Sensing orientation,N/A,1,$13.18
lm2596,Powering the ESP32,1 PCS,1,$1.71
nidec 24h055mo20,Driving the wheels,N/A,2,$17.54
esp32 devboard,Controlling the robot,ESP32 Type-C 30Pin,1,$4.17
10x15x4 mm bearing,Low-friction wheel hubs,10x15X4mm,1,$2.85
m2.5x8 screws,Securing the motors,"M2.5 50PCS, x8mm",1,$2.20
m3x5 tapping screws,Mounting the LM2596,"M3 x 50Pieces, 5mm",1,$1.50
m3x8 tapping screws,Mounting the drive modules and ESP32,"M3x8mm, 20pcs",1,$1.40
silicone bands,High-friction tires,Any,1,$7.99
3S LiPo,Powering the robot,1Pcs,1,$19.89
10uF ceramic capacitor,Protect ESP32 from current spikes,N/A,1,$0
220uF electrolyitc capacitor,Protect ESP32 from current spikes,N/A,1,$0
Total,,,,$75.59
Links here:,https://docs.google.com/spreadsheets/d/15BZOgCAK9HfxFjphhOrtfexejHQh9IfhAeZVUUb6IY0/edit?usp=sharing,,,
